Time, Song, Artist, Album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:44,Citizen Of The Planet,Simon & Garfunkel,Old Friends Live On Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:45,My Baby Baby,Lake Koast,Absolutely EDM Drops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:46,Citizen Of The Planet,Simon & Garfunkel,Old Friends Live On Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:56,drivers license,Olivia Rodrigo,drivers license - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 12:00,Take My Hand,Skerryvore,Evo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 15:18,Look-A Here Pretty Baby,Joe Weaver,Blues in the 50s - Vol.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 16:13,Bad Guy,Vitamin String Quartet,Vitamin String Quartet Performs the Hits of 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 16:25,Sommerset House,Kris Bowers,Bridgerton (Music From the Netflix Original Series),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 16:45,When You Are Alone,Kris Bowers,Bridgerton (Music From the Netflix Original Series),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 8:03,Impossible Is Nothing (Original Mix),Chance Jumpers,Impossible Is Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 10:03,The Night They Drove Old Dixie Down,The Band,The Band (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 10:11,My My, Hey Hey (Out Of The Blue),Neil Young,Rust Never Sleeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 10:13,Down By The River,Neil Young,Everybody Knows This Is Nowhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 10:23,Only Love Can Break Your Heart,Neil Young,After The Gold Rush (50th Anniversary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 10:25,Ohio,Crosby & Stills & Nash & Young,So Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
