time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,x_speed,y_speed
1626098420,4ca9cd,53.66905083,-4.924702364,179.8325814,241.0886749,-8.77824,RYR35QU ,FALSE,FALSE,FALSE,7543,4495.8,4632.96,1626098420,1626098420,-157.419864,-86.941036
1626098420,406ae8,50.80737305,-3.40657827,228.5689223,4.388814836,0.32512,TOM6K   ,FALSE,FALSE,FALSE,5411,12192,12466.32,1626098420,1626098420,17.491096,227.898692
1626098420,a7ff6a,51.87464827,-3.681640625,258.6507585,98.6941776,0,UPS223  ,FALSE,FALSE,FALSE,5204,12496.8,12793.98,1626098420,1626098420,255.678668,-39.097744
1626098420,43ecf5,51.31890766,0.329055786,95.58834668,103.0639541,12.67968,ORT25J  ,FALSE,FALSE,FALSE,2053,1463.04,1508.76,1626098420,1626098420,93.114364,-21.606648
1626098420,4ca259,53.33784485,-0.592398507,228.186506,99.86580694,9.42848,RYR60VP ,FALSE,FALSE,FALSE,5211,9784.08,9921.24,1626098420,1626098420,224.812028,-39.097744
1626098420,406f73,51.7325592,1.593388738,200.0519197,266.1663235,-8.77824,BAW256  ,FALSE,FALSE,FALSE,3261,6469.38,6629.4,1626098420,1626098420,-199.604272,-13.375544
1626098420,46b8a4,51.34134584,-0.580825806,142.1774682,285.7460575,-13.65504,AEE2EG  ,FALSE,FALSE,FALSE,2752,2141.22,2209.8,1626098420,1626098420,-136.842104,38.5833
1626098420,76cdad,51.70069885,0.903031633,193.1002405,263.575525,-8.77824,SIA308  ,FALSE,FALSE,FALSE,737,4739.64,4831.08,1626098420,1626098420,-191.887612,-21.606648
1626098420,342591,51.34185791,-3.527947503,111.6770126,335.7963235,-0.65024,VLG49TG ,FALSE,FALSE,FALSE,5556,1089.66,1150.62,1626098420,1626098420,-45.785516,101.859912
1626098420,3c4591,51.46078491,-0.364256163,255.2477038,99.74709014,0,BOX413  ,FALSE,FALSE,FALSE,1174,10668,10843.26,1626098420,1626098420,251.563116,-43.213296
1626098420,43c8d8,53.02702332,-0.543899536,68.16528596,65.94970147,-4.22656,CWL48   ,FALSE,FALSE,FALSE,7010,228.6,259.08,1626098420,1626098420,62.247724,27.779976
1626098420,406d4c,52.00974287,1.456787109,238.0964435,73.17032272,5.52704,VIR250  ,FALSE,FALSE,FALSE,4615,7185.66,7345.68,1626098420,1626098420,227.898692,68.935496
1626098420,40665f,51.97473558,-3.170497349,216.5705371,353.1788476,-10.07872,TOM127  ,FALSE,FALSE,FALSE,5214,10271.76,10454.64,1626098420,1626098420,-25.7222,215.037592
1626098420,49d31f,52.15987383,0.284938267,114.0906434,97.25319461,-1.95072,TIE592D ,FALSE,FALSE,FALSE,4625,937.26,975.36,1626098420,1626098420,113.17768,-14.404432
1626098420,43c8d4,53.47185555,-0.175862032,113.206906,344.4480146,0.32512,CWL55   ,FALSE,FALSE,FALSE,4255,3665.22,3749.04,1626098420,1626098420,-30.352196,109.062128
1626098420,394a14,54.14543152,-2.040788923,253.9900213,326.9858626,0,AFR072  ,FALSE,FALSE,FALSE,5632,9753.6,9936.48,1626098420,1626098420,-138.385436,212.979816
1626098420,4ca63a,53.55487061,-3.328543527,173.0031651,92.38594403,-12.67968,EIN304  ,FALSE,FALSE,FALSE,2707,3535.68,3604.26,1626098420,1626098420,172.853184,-7.202216
1626098420,43c6b8,51.7212121,-1.420593262,117.6593149,70.05969943,-4.8768,RRR820  ,FALSE,FALSE,FALSE,3740,822.96,876.3,1626098420,1626098420,110.60546,40.126632
1626098420,3ca9b3,52.00248072,0.907941546,143.7104632,272.8726476,0,DBJMS   ,FALSE,FALSE,FALSE,3535,2743.2,2804.16,1626098420,1626098420,-143.529876,7.202216
1626098420,406ecc,51.44847107,-0.37977064,111.1544331,159.9715825,6.17728,VIR513  ,FALSE,FALSE,FALSE,1421,571.5,594.36,1626098420,1626098420,38.068856,-104.432132
1626098420,452057,51.81236138,-4.222488403,241.3175595,104.5694877,0,VAW902  ,FALSE,FALSE,FALSE,5256,10668,10866.12,1626098420,1626098420,233.557576,-60.704392
1626098420,407a19,53.45905369,-4.031416949,143.9018588,83.63718852,-2.92608,GMDSI   ,FALSE,FALSE,FALSE,5226,6019.8,6164.58,1626098420,1626098420,143.015432,15.947764
1626098420,4ca815,53.39988579,-1.15695729,213.4502488,107.8235841,9.42848,RYR9ZD  ,FALSE,FALSE,FALSE,4617,8542.02,8671.56,1626098420,1626098420,203.20538,-65.334388
1626098420,4009c8,54.38685608,-0.322238698,212.3102348,266.6661493,-4.8768,MONICA21,FALSE,FALSE,FALSE,6521,7764.78,7909.56,1626098420,1626098420,-211.950928,-12.346656
1626098420,407994,51.84774108,-4.498748779,257.8847789,110.6764424,0,BAW268  ,FALSE,FALSE,FALSE,6326,11277.6,11513.82,1626098420,1626098420,241.274236,-91.056588
1626098420,4009d1,54.46238708,0.086274989,195.0177071,268.79077,-10.40384,MONICA22,FALSE,FALSE,FALSE,6522,6004.56,6126.48,1626098420,1626098420,-194.974276,-4.115552
1626098420,a95881,53.80023193,-2.973057338,253.0023876,107.5138742,0,CKS203  ,FALSE,FALSE,FALSE,6250,12496.8,12793.98,1626098419,1626098420,241.274236,-76.137712
1626098420,43c8f4,52.75793043,-2.95249721,31.77915091,299.0546041,-1.30048,SYS86   ,FALSE,FALSE,FALSE,,144.78,190.5,1626098418,1626098418,-27.779976,15.43332
1626098420,406f12,52.75621033,-0.402297974,51.56001997,192.0947571,0.32512,GLINZ   ,FALSE,FALSE,FALSE,36,243.84,251.46,1626098419,1626098420,-10.803324,-50.415512
1626098420,4078b8,51.23385672,-0.485916138,143.5704357,205.922337,7.80288,BAW81   ,FALSE,FALSE,FALSE,2026,1905,1950.72,1626098420,1626098420,-62.762168,-129.125444
1626098420,49328a,52.18654827,-1.319458008,211.7735454,151.56727,5.20192,NJE340B ,FALSE,FALSE,FALSE,6321,12031.98,12291.06,1626098420,1626098420,100.831024,-186.228728
1626098420,400e4a,51.87893108,0.031967163,121.9243133,220.207966,-4.22656,EXS95EU ,FALSE,FALSE,FALSE,5573,1028.7,1074.42,1626098420,1626098420,-78.709932,-93.114364
1626098420,4d024c,50.59567209,1.14888784,216.3908262,318.0836605,-9.10336,FYL51F  ,FALSE,FALSE,FALSE,4060,11971.02,12222.48,1626098420,1626098420,-144.558764,161.020972
1626098420,407b3c,52.44090969,-2.153712681,64.4062521,121.2777029,0,GTTEA   ,FALSE,FALSE,FALSE,404,685.8,723.9,1626098420,1626098420,55.045508,-33.43886
1626098420,407898,53.78297424,-3.176382882,258.6691755,295.1889937,3.57632,BAW31F  ,FALSE,FALSE,FALSE,6324,8923.02,9113.52,1626098420,1626098420,-234.07202,110.091016
